Year Collected,Month Collected,Day Collected,Time of Day,Locality,Longitude,Latitude,Notes,Marked Individual,Location ID,Date Encounter Submitted,Has Left Spot Image,Has Right Spot Image
2022,12,21,14:0,"Casino Point, Santa Catalina Island, CA (east of the Kismet wreck)",33.349055,-118.324805,"After being told by the local divers, who dive almost every day here that they haven't seen GSB for weeks and are gone for the winter, lucky us! It was more skittish than they normally are at this site when approached, it kind of took off toward shore but a couple of minutes later it returned to where we first saw it.. BTW - we also have incredible footage of a torpedo ray that was right next to the GSB. The torpedo ray even went into a &quot;hypnotic&quot; state when rubbed on its snout and flipped over on to its back for several minutes and at first we thought the GSB was going to eat it but then it left it alone.",GSB541,Catalina Island- Casino Point,2022-12-24T01:46:06.752,true,true
2022,10,12,2:28,"Catalina Island, CA",33.349055,-118.324805,,GSB430,Catalina Island- Casino Point,2022-11-05T23:08:40.968,true,false
2022,10,11,9:45,Catalina Island - Casino Point,33.349055,-118.324805,I saw up to six at a time in one place.,GSB589,Catalina Island- Casino Point,2022-12-06T04:39:31.084,true,false
2022,10,11,9:40,Catalina Island - Casino Point,33.349055,-118.324805,these may be duplicate submissions i apologize!,GSB590,Catalina Island- Casino Point,2022-12-06T04:51:57.135,true,false
2022,10,11,9:45,Catalina Island - Casino Point,33.349055,-118.324805,I saw up to six at a time in one place. This is a series of submission of sides since I cannot be sure anymore which left and right sides go together :-),GSB590,Catalina Island- Casino Point,2022-12-06T04:36:17.977,true,false
2022,10,11,9:48,Catalina Island - Casino Point,33.349055,-118.324805,"i saw up to six at a time. these may be duplicate submissions from my previous ones, my apologies",GSB588,Catalina Island- Casino Point,2022-12-06T05:36:15.512,true,false
2022,10,8,10:0,Refugio,34.46145292802747,-120.0669604,This fish was caught while fishing off the point at Refugio. Fish was not harmed and was released.,GSB576,Refugio State Beach,2022-10-18T18:07:42.701,true,false
2022,9,23,2:18,"Catalina Island, CA",33.349055,-118.324805,encounter 2:18 to 2:31pm,GSB592,Catalina Island- Casino Point,2022-11-06T03:03:42.683,true,false
2022,9,19,,Casino Points,33.349055,-118.324805,,GSB110,Catalina Island- Casino Point,2023-01-16T01:57:14.516,true,false
2022,8,25,9:55,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,Both left and right sides were submitted.,GSB466,Hermosa Artificial Reef,2022-08-27T03:05:50.801,true,true
2022,8,25,10:32,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,Both left and right sides were submitted.,GSB597,Hermosa Artificial Reef,2022-08-27T02:40:58.759,true,true
2022,8,25,10:18,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,Both left and right sides were submitted.,GSB275,Hermosa Artificial Reef,2022-08-27T04:47:12.164,true,true
2022,8,25,9:57,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,"Both left and right sides were submitted.  It's possible that this fish is our unspotted GSB 385, captured by GoPro on Aug. 11, 2022, but it didn't show spots. On this dive, it appeared many times.",GSB310,Hermosa Artificial Reef,2022-08-27T02:33:04.963,true,false
2022,8,25,10:25,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,Both left and right sides were submitted.,GSB583,Hermosa Artificial Reef,2022-08-27T03:18:31.838,true,true
2022,8,25,9:53,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,Both left and right sides were submitted.,GSB599,Hermosa Artificial Reef,2022-08-27T03:12:26.768,true,false
2022,8,25,10:29,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,,GSB598,Hermosa Artificial Reef,2022-08-27T03:09:29.574,true,false
2022,8,16,12:38,Casino point dive park,33.349055,-118.324805,"I only have pictures of this one but I saw 4 giant sea bass on this dive, 2 individually and one pair swimming together. One of the fish in the pair had a significant injury, with lots of white flesh showing. It looked like it was healed but the damage was permanent.",GSB163,Catalina Island- Casino Point,2022-08-18T05:12:42.885,true,false
2022,8,15,10:52,"Casino Point Dive Park, Catalina Island",33.349055,-118.324805,"6 sea bass within sight. Heard sonic booms, unsure which bass they came from",GSB570,Catalina Island- Casino Point,2022-08-16T00:52:53.309,true,false
2022,8,11,9:50,"Spongehenge, Hermosa Artificial Reef",33.853667,-118.413333,"1 fish in sight during this encounter.. Phil shot the left side of the fish at the same time as I shot the right side, but his camera was accidentally in manual focus.  We also got a frame grab of the right side with the GoPro.",GSB319,Hermosa Artificial Reef,2022-08-24T19:41:18.829,false,true
2022,8,10,,Casino Point,33.349055,-118.324805,Depth: 40&rsquo; Temp:67*F,GSB584,Catalina Island- Casino Point,2023-02-10T19:57:13.051,true,false
2022,7,31,12:0,,32.851022,-117.272260,Adult with no visible scars. Another adult came to the spot but did not stay. Very murky visibility near the bottom.,GSB559,La Jolla Cove,2022-08-03T23:58:55.406,true,true
2022,7,29,12:53,Topanga State Beach,34.03716179872579,-118.580493,"Close to the same area of my spotting on June 26, this Giant Sea Bass passed right by me, showing only its left side.Pretty sure it's the same fish, due to the rarity and similar size, but can't compare with previous photos, which were of its right side.",GSB560,Topanga Beach,2022-08-04T00:55:36.052,true,false
2022,7,27,9:0,,32.851022,-117.272260,,GSB536,La Jolla Cove,2022-07-27T19:53:02.032,true,false
2022,7,24,,Casino Point,33.349055,-118.324805,Found paired with larger individual who it stayed in close contact with (mated pair?),GSB551,Catalina Island- Casino Point,2022-07-25T19:00:09.879,true,true
2022,7,24,,Casino Point,33.349055,-118.324805,,GSB549,Catalina Island- Casino Point,2022-07-25T19:06:28.187,true,false
2022,7,17,,Padaro Beach,34.394722,-119.538661,BRUV footage from Lowe Lab. Rocky reef habitat.,GSB574,Carpinteria Reef,2022-08-20T00:08:03.019,true,false
2022,7,12,12:46,"Pier at USC Wrigley Institute for Environmental Studies, Fisherman's Cove, Two Harbors, Catalina Island",33.4497,-118.484987,GSB1 of three GSB hatched at Cabrillo Marine Aquarium spring and summer of 2019. YOY photos taken and submitted with large submission December 2019. Fish transferred to USC Wrigley Institute for Environmental Studies and raised to this release date. Weight was measured on digital scale as 5.3kg.,GSB566,Catalina Island,2022-07-22T19:51:12.749,true,true
2022,7,12,13:24,"Pier at USC Wrigley Institute for Environmental Studies, Fisherman's Cove, Two Harbors, Catalina Island",33.4497,-118.484987,GSB 3 of three GSB hatched at Cabrillo Marine Aquarium during spring and summer of 2019. YOY photos taken and submitted with large submission December 2019. Fish transferred to USC Wrigley Institute for Environmental Studies and raised to this release date. Weight was measured on digital scale as 3.05kg.,GSB567,Catalina Island,2022-07-22T20:08:48.629,true,true
2022,7,12,13:4,"Pier at USC Wrigley Institute for Environmental Studies, Fisherman's Cove, Two Harbors, Catalina Island",33.4497,-118.484987,GSB 2 of three GSB hatched at Cabrillo Marine Aquarium during spring and summer of 2019. YOY photos taken and submitted with large submission December 2019. Fish transferred to USC Wrigley Institute for Environmental Studies and raised to this release date. Weight was measured on digital scale as 4.05kg.,GSB565,Catalina Island,2022-07-22T20:02:04.551,true,true
2022,7,11,15:12,"Casino Point Dive Park, Catalina Island",33.349055,-118.324805,We saw about 5 Giant Sea Bass all in the same area at the same time,GSB561,Catalina Island- Casino Point,2022-08-04T06:10:14.240,true,false
2022,6,27,,La Jolla Cove,32.851022,-117.272260,Video sent to me through Manuel Villanueva. Low 50's ocean temp. Photographer: Arash Fassihi,GSB573,La Jolla Cove,2022-08-20T00:27:36.962,true,false
2022,6,18,,,32.851022,-117.272260,"One of four GSBs. This is about 3 ft long, the smallest of all.",GSB564,La Jolla Cove,2022-06-21T01:12:01.271,true,false
2022,6,15,,,32.851022,-117.272260,One of four GSBs. This is probably one of the largest I have seen.,GSB557,La Jolla Cove,2022-06-21T01:15:57.365,true,false
2022,6,10,,Anacapa Island,34.0165,-119.3701,Note scar on left side. I think I've seen and shot this fish before.,GSB555,Anacapa Island- Cathedral Point,2022-06-30T16:18:07.681,true,false
2022,5,28,10:30,Casino point dive park,33.349055,-118.324805,Short encounter with 5 ft long GBSB had large hook through the face,GSB182,Catalina Island- Casino Point,2022-06-06T19:43:27.070,false,true
2022,5,25,10:20,,32.851022,-117.272260,This was the smallest of four GSB.,GSB400,La Jolla Cove,2022-05-26T03:18:30.659,true,false
2022,3,27,10:50,"Casino Point Dive Park, Catalina",33.349055,-118.324805,"2 in this encounter, this was the larger one.",GSB163,Catalina Island- Casino Point,2022-03-28T04:28:15.564,true,false
